Cellulose, Hemicellulose, Lignin, Solids Loading [g/L], Enzyme Loading [g/L], Time [h], Glucose Concentration [g/L], Xylose Concentration [g/L], Cellobiose Concentration [g/L]
    0.660,         0.083,  0.252,              150.000,                0.175,    0.000,                       0.000,                      0.000,                          0.000
    0.660,         0.083,  0.252,              150.000,                0.175,    1.000,                       8.772,                      1.435,                          0.175
    0.660,         0.083,  0.252,              150.000,                0.175,    2.000,                      13.363,                      2.007,                          0.367
    0.660,         0.083,  0.252,              150.000,                0.175,    4.000,                      23.095,                      2.829,                          0.691
    0.660,         0.083,  0.252,              150.000,                0.175,    6.000,                      28.861,                      3.201,                          0.823
    0.660,         0.083,  0.252,              150.000,                0.175,    8.000,                      33.097,                      3.501,                          0.925
    0.660,         0.083,  0.252,              150.000,                0.175,   12.000,                      37.273,                      3.831,                          1.051
    0.660,         0.083,  0.252,              150.000,                0.175,   24.000,                      45.355,                      4.455,                          1.411
    0.660,         0.083,  0.252,              150.000,                0.175,   48.000,                      53.561,                      7.708,                          1.083
    0.660,         0.083,  0.252,              150.000,                0.175,   72.000,                      55.907,                      7.938,                          0.947
    0.660,         0.083,  0.252,              150.000,                0.175,   96.000,                      57.913,                      8.363,                          0.930
    0.660,         0.083,  0.252,              200.000,                0.175,    0.000,                       0.000,                      0.000,                          0.000
    0.660,         0.083,  0.252,              200.000,                0.175,    1.000,                       5.462,                      2.501,                          0.000
    0.660,         0.083,  0.252,              200.000,                0.175,    2.000,                       5.929,                      3.299,                          0.000
    0.660,         0.083,  0.252,              200.000,                0.175,    4.000,                      11.870,                      3.488,                          0.000
    0.660,         0.083,  0.252,              200.000,                0.175,    6.000,                      13.987,                      3.896,                          0.000
    0.660,         0.083,  0.252,              200.000,                0.175,    8.000,                      22.138,                      5.639,                          0.467
    0.660,         0.083,  0.252,              200.000,                0.175,   12.000,                      24.467,                      5.758,                          0.509
    0.660,         0.083,  0.252,              200.000,                0.175,   24.000,                      38.968,                      8.155,                          0.960
    0.660,         0.083,  0.252,              200.000,                0.175,   48.000,                      51.081,                      9.285,                          1.283
    0.660,         0.083,  0.252,              200.000,                0.175,   72.000,                      70.665,                     11.317,                          2.192
    0.660,         0.083,  0.252,              200.000,                0.175,   96.000,                      84.520,                     11.988,                          0.110
    0.660,         0.083,  0.252,              150.000,                0.525,    0.000,                       0.000,                      0.000,                          0.000
    0.660,         0.083,  0.252,              150.000,                0.525,    1.000,                      27.449,                      1.996,                          0.777
    0.660,         0.083,  0.252,              150.000,                0.525,    2.000,                      37.235,                      2.908,                          1.047
    0.660,         0.083,  0.252,              150.000,                0.525,    6.000,                      39.809,                      8.726,                          1.083
    0.660,         0.083,  0.252,              150.000,                0.525,   12.000,                      47.757,                     10.026,                          1.210
    0.660,         0.083,  0.252,              150.000,                0.525,   24.000,                      58.280,                     10.468,                          1.397
    0.660,         0.083,  0.252,              150.000,                0.525,   48.000,                      64.094,                     11.318,                          1.499
    0.660,         0.083,  0.252,              150.000,                0.525,   72.000,                      67.290,                     11.760,                          1.508
    0.660,         0.083,  0.252,              150.000,                1.050,    0.000,                       0.000,                      0.000,                          0.000
    0.660,         0.083,  0.252,              150.000,                1.050,    1.000,                      32.312,                      0.509,                          0.893
    0.660,         0.083,  0.252,              150.000,                1.050,    2.000,                      43.376,                      1.481,                          1.193
    0.660,         0.083,  0.252,              150.000,                1.050,    6.000,                      43.640,                      8.910,                          1.274
    0.660,         0.083,  0.252,              150.000,                1.050,   12.000,                      51.188,                      9.700,                          1.410
    0.660,         0.083,  0.252,              150.000,                1.050,   24.000,                      57.954,                     10.865,                          1.487
    0.660,         0.083,  0.252,              150.000,                1.050,   48.000,                      67.721,                     11.706,                          1.810
    0.660,         0.083,  0.252,              150.000,                1.050,   72.000,                      70.772,                     11.749,                          1.903
    0.660,         0.083,  0.252,              150.000,                0.088,    0.000,                       0.000,                      0.000,                          0.000
    0.660,         0.083,  0.252,              150.000,                0.088,    1.000,                       2.990,                      0.554,                          0.000
    0.660,         0.083,  0.252,              150.000,                0.088,    2.000,                       4.703,                      1.901,                          0.000
    0.660,         0.083,  0.252,              150.000,                0.088,    6.000,                      12.406,                      2.814,                          0.021
    0.660,         0.083,  0.252,              150.000,                0.088,   12.000,                      18.517,                      4.196,                          0.285
    0.660,         0.083,  0.252,              150.000,                0.088,   24.000,                      27.927,                      5.345,                          0.523
    0.660,         0.083,  0.252,              150.000,                0.088,   48.000,                      41.017,                      6.775,                          0.888
    0.660,         0.083,  0.252,              150.000,                0.088,   72.000,                      45.862,                      7.812,                          0.897
    0.660,         0.083,  0.252,              150.000,                0.263,    0.000,                       0.000,                      0.000,                          0.000
    0.660,         0.083,  0.252,              150.000,                0.263,    1.000,                       7.195,                      1.436,                          0.000
    0.660,         0.083,  0.252,              150.000,                0.263,    2.000,                      12.268,                      4.238,                          0.140
    0.660,         0.083,  0.252,              150.000,                0.263,    6.000,                      28.571,                      4.805,                          0.594
    0.660,         0.083,  0.252,              150.000,                0.263,   12.000,                      39.918,                      6.514,                          0.883
    0.660,         0.083,  0.252,              150.000,                0.263,   24.000,                      49.591,                      7.466,                          1.198
    0.660,         0.083,  0.252,              150.000,                0.263,   48.000,                      60.233,                      8.936,                          1.589
    0.660,         0.083,  0.252,              150.000,                0.263,   72.000,                      64.687,                     10.024,                          0.000
    0.660,         0.083,  0.252,              150.000,                0.350,    0.000,                       0.000,                      0.000,                          0.000
    0.660,         0.083,  0.252,              150.000,                0.350,    1.000,                       9.293,                      1.979,                          0.095
    0.660,         0.083,  0.252,              150.000,                0.350,    2.000,                      14.988,                      4.974,                          0.236
    0.660,         0.083,  0.252,              150.000,                0.350,    6.000,                      34.708,                      5.400,                          0.751
    0.660,         0.083,  0.252,              150.000,                0.350,   12.000,                      44.857,                      6.989,                          1.014
    0.660,         0.083,  0.252,              150.000,                0.350,   24.000,                      55.159,                      8.103,                          1.388
    0.660,         0.083,  0.252,              150.000,                0.350,   48.000,                      65.929,                      9.684,                          1.796
    0.660,         0.083,  0.252,              150.000,                0.350,   72.000,                      68.700,                     10.287,                          1.703
    0.660,         0.083,  0.252,              150.000,                0.438,    0.000,                       0.000,                      0.000,                          0.000
    0.660,         0.083,  0.252,              150.000,                0.438,    1.000,                      12.230,                      2.753,                          0.172
    0.660,         0.083,  0.252,              150.000,                0.438,    2.000,                      18.496,                      5.900,                          0.369
    0.660,         0.083,  0.252,              150.000,                0.438,    6.000,                      39.311,                      6.010,                          0.888
    0.660,         0.083,  0.252,              150.000,                0.438,   12.000,                      47.386,                      7.234,                          1.135
    0.660,         0.083,  0.252,              150.000,                0.438,   24.000,                      55.843,                      8.305,                          1.441
    0.660,         0.083,  0.252,              150.000,                0.438,   48.000,                      65.712,                      9.827,                          1.764
    0.660,         0.083,  0.252,              150.000,                0.438,   72.000,                      67.743,                     10.677,                          1.602
