Cellulose, Hemicellulose, Lignin, Solids Loading [g/L], Enzyme Loading [g/L], Time [h], Glucose Concentration [g/L], Xylose Concentration [g/L], Cellobiose Concentration [g/L]
    0.599,         0.109,  0.292,              119.744,                0.413,        0,                       0.000,                      0.000,                          0.000
    0.599,         0.109,  0.292,              119.744,                0.413,        1,                       9.305,                      2.834,                          0.479
    0.599,         0.109,  0.292,              119.744,                0.413,        2,                      11.975,                      4.228,                          0.672
    0.599,         0.109,  0.292,              119.744,                0.413,        4,                      15.416,                      5.936,                          0.903
    0.599,         0.109,  0.292,              119.744,                0.413,        6,                      17.919,                      7.015,                          1.045
    0.599,         0.109,  0.292,              119.744,                0.413,        8,                      19.974,                      7.785,                          1.141
    0.599,         0.109,  0.292,              119.744,                0.413,       12,                      23.334,                      8.841,                          1.254
    0.599,         0.109,  0.292,              119.744,                0.413,       24,                      30.536,                     10.467,                          1.319
    0.599,         0.109,  0.292,              119.744,                0.413,       48,                      39.611,                     11.781,                          1.116
    0.599,         0.109,  0.292,              119.744,                0.413,       72,                      45.525,                     12.400,                          0.874
    0.599,         0.109,  0.292,              119.744,                0.413,       96,                      49.788,                     12.777,                          0.680
    0.627,         0.097,  0.276,               98.712,                1.156,        0,                       0.000,                      0.000,                          0.000
    0.627,         0.097,  0.276,               98.712,                1.156,        1,                      14.107,                      2.555,                          0.355
    0.627,         0.097,  0.276,               98.712,                1.156,        2,                      18.169,                      3.655,                          0.382
    0.627,         0.097,  0.276,               98.712,                1.156,        4,                      23.209,                      4.935,                          0.361
    0.627,         0.097,  0.276,               98.712,                1.156,        6,                      26.663,                      5.717,                          0.324
    0.627,         0.097,  0.276,               98.712,                1.156,        8,                      29.343,                      6.266,                          0.290
    0.627,         0.097,  0.276,               98.712,                1.156,       12,                      33.413,                      7.009,                          0.234
    0.627,         0.097,  0.276,               98.712,                1.156,       24,                      40.923,                      8.137,                          0.140
    0.627,         0.097,  0.276,               98.712,                1.156,       48,                      48.487,                      9.038,                          0.070
    0.627,         0.097,  0.276,               98.712,                1.156,       72,                      52.570,                      9.454,                          0.043
    0.627,         0.097,  0.276,               98.712,                1.156,       96,                      55.200,                      9.703,                          0.030
    0.612,         0.134,  0.253,              214.891,                0.693,        0,                       0.000,                      0.000,                          0.000
    0.612,         0.134,  0.253,              214.891,                0.693,        1,                      10.702,                     10.374,                          1.102
    0.612,         0.134,  0.253,              214.891,                0.693,        2,                      13.730,                     14.416,                          1.572
    0.612,         0.134,  0.253,              214.891,                0.693,        4,                      18.032,                     18.581,                          2.203
    0.612,         0.134,  0.253,              214.891,                0.693,        6,                      21.447,                     20.848,                          2.649
