Time (h),Cell concentration (g/L),Glucose concentration (g/L),Xylose concentration (g/L),Ethanol concentration (g/L)
0.0,0.5,20.0,10.0,0.0
1.0,0.5708798312802225,19.291314970117707,9.99985839635009,0.28349666853690336
2.0,0.6506635204239933,18.493612458915372,9.99969042105588,0.6026045490649123
3.0,0.7400525270347905,17.599882565473045,9.99949020522383,0.9601285409749722
4.0,0.8396337141338649,16.604262701757943,9.99925019612928,1.3584148879161417
5.0,0.94979064009347,15.5029251822986,9.998960520958393,1.79899624372722
6.0,1.070582174451239,14.295291821153894,9.998608042917164,2.282105984671698
7.0,1.2015830755837,12.985629298899502,9.998174931579385,2.8060402913874993
8.0,1.3416857577464356,11.585033267245398,9.997636444112821,3.3663648620437914
9.0,1.488875439613678,10.113679682052254,9.99695740226372,3.955014942816904
10.0,1.6400177760437618,8.60295306578271,9.996086467224602,4.55944493893098
11.0,1.7907446404819733,7.096596272831638,9.994946652935798,5.162170026397616
12.0,1.9355847503384316,5.6494169985571,9.993419372573245,5.74128610096544
13.0,2.0685194954268638,4.321751108562346,9.991317421461279,6.272688769141257
14.0,2.1840485225145962,3.1688432547832637,9.988339400088476,6.734328394072538
15.0,2.2785311574057943,2.227493259117761,9.98399395853038,7.1115636629880346
16.0,2.351169883026393,1.5063196503885778,9.977476899184374,7.401075835975069
17.0,2.4040034257676313,0.985983481203997,9.967477826399618,7.610810155294463
18.0,2.440920227875374,0.6292877690592388,9.951887440233778,7.7559829019389
19.0,2.4663761955338392,0.39433451568676403,9.92737941121855,7.853885487930326
20.0,2.4844928187006685,0.24397299363759117,9.888873524194645,7.92019103867382
21.0,2.498718185450179,0.14962492484684914,9.828991525814189,7.9675113859309885
22.0,2.511853972890205,0.09118774585944081,9.737840656548125,8.005470396608523
23.0,2.526169597865051,0.055298350480949506,9.603757088585668,8.041279525633913
24.0,2.543408078574844,0.03338266760571916,9.415670683307297,8.080139623628547
25.0,2.564642934281211,0.02005814540296686,9.166890639731145,8.125274239481833
26.0,2.590127077400432,0.011989528167122915,8.858424622285687,8.177856249167444
27.0,2.619341783886098,0.0071251289483518845,8.499321290238319,8.23725854198253
28.0,2.651290831084851,0.004207600063852139,8.10360511135953,8.301740142156936
29.0,2.684868110738396,0.002468149988166569,7.686063428284829,8.369242591479162
30.0,2.719111602460631,0.001437892313844048,7.2593076038497975,8.437935626458497
31.0,2.7532963096431198,0.0008319249818477221,6.832756223233683,8.506426234289874
32.0,2.786921417126904,0.00047806368216379375,6.4128847063109875,8.57374722151738
33.0,2.8196580795576156,0.00027289669976786216,6.003932884655086,8.639261579775283
34.0,2.8512963406914698,0.00015477813306697516,5.608602268690284,8.702561725756333
35.0,2.8817043686747095,8.724177290473449e-05,5.228586339349997,8.763391288994844
36.0,2.9108009812082414,4.888260398856784e-05,4.864926631641988,8.821592185895692
37.0,2.9385383668275464,2.7234174403048e-05,4.518236371937659,8.877071286820218
38.0,2.9648916186144962,1.5091448540578064e-05,4.188835903008116,8.929780218939289
39.0,2.989852468246607,8.319624775201036e-06,3.8768337473864314,8.979703272568266
