Amostra,Cellulose,Hemicellulose,Lignin,Solids_Loading,Enzyme_Loading,Time_h,Glucose_Real,Xylose_Real,Cellobiose_Real,Glucose_Pred,Xylose_Pred,Cellobiose_Pred,Glucose_AE,Xylose_AE,Cellobiose_AE,Glucose_RE,Xylose_RE,Cellobiose_RE,Total_AE
1,0.649000,0.092000,0.260000,205.847000,0.071000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.649000,0.092000,0.260000,205.847000,0.071000,1.000000,9.124000,0.851000,0.283000,8.328757,0.000000,0.000000,0.795243,0.851000,0.283000,8.715944,100.000000,100.000000,1.929243
3,0.649000,0.092000,0.260000,205.847000,0.071000,2.000000,12.343000,1.360000,0.421000,11.080917,0.000000,0.108394,1.262083,1.360000,0.312606,10.225088,100.000000,74.253248,2.934689
4,0.649000,0.092000,0.260000,205.847000,0.071000,4.000000,16.397000,2.124000,0.615000,16.526917,1.721571,0.470955,0.129917,0.402429,0.144045,0.792319,18.946736,23.422002,0.676390
5,0.649000,0.092000,0.260000,205.847000,0.071000,6.000000,19.230000,2.725000,0.760000,21.421700,3.490786,0.789292,2.191700,0.765786,0.029292,11.397293,28.102233,3.854145,2.986777
6,0.649000,0.092000,0.260000,205.847000,0.071000,8.000000,21.477000,3.233000,0.879000,23.581776,3.621725,0.843841,2.104776,0.388725,0.035159,9.800138,12.023657,3.999939,2.528660
7,0.649000,0.092000,0.260000,205.847000,0.071000,12.000000,25.019000,4.073000,1.072000,28.096514,3.783088,0.935740,3.077514,0.289912,0.136260,12.300706,7.117905,12.710777,3.503686
8,0.649000,0.092000,0.260000,205.847000,0.071000,24.000000,32.252000,5.864000,1.471000,38.852215,5.146886,1.306817,6.600215,0.717114,0.164183,20.464513,12.229095,11.161299,7.481512
9,0.649000,0.092000,0.260000,205.847000,0.071000,48.000000,41.279000,8.069000,1.946000,51.341873,8.551196,2.039669,10.062873,0.482196,0.093669,24.377706,5.975909,4.813426,10.638739
10,0.649000,0.092000,0.260000,205.847000,0.071000,72.000000,47.543000,9.495000,2.241000,58.822521,9.412040,2.231649,11.279521,0.082960,0.009351,23.724883,0.873726,0.417273,11.371833
