Amostra, Temperature, Cellulose_Fraction, Hemicellulose_Fraction, Lignin_Fraction, Solids_Loading, Time_min , Cellulose_Real, Hemicellulose_Real, Cellulose_Pred, Hemicellulose_Pred, Cellulose_AE, Hemicellulose_AE, Cellulose_RE, Hemicellulose_RE, Total_AE
      1,  186.188100,           0.461800,               0.156900,        0.381300,     114.121600,  0.000000,      52.697900,          17.906000,      52.701355,          17.905680,     0.003455,         0.000320,     0.006556,         0.001789, 0.003775
      2,  186.188100,           0.461800,               0.156900,        0.381300,     114.121600,  5.000000,      50.365400,          12.914400,      50.108700,          11.921359,     0.256700,         0.993041,     0.509676,         7.689408, 1.249741
      3,  186.188100,           0.461800,               0.156900,        0.381300,     114.121600, 10.000000,      48.136200,           9.314200,      48.645405,           9.586040,     0.509205,         0.271840,     1.057842,         2.918550, 0.781044
      4,  186.188100,           0.461800,               0.156900,        0.381300,     114.121600, 15.000000,      46.005600,           6.717600,      46.556774,           7.210855,     0.551174,         0.493255,     1.198059,         7.342734, 1.044430
      5,  186.188100,           0.461800,               0.156900,        0.381300,     114.121600, 20.000000,      43.969400,           4.844900,      43.445171,           4.287944,     0.524229,         0.556956,     1.192258,        11.495720, 1.081185
      6,  186.188100,           0.461800,               0.156900,        0.381300,     114.121600, 30.000000,      40.163200,           2.520100,      40.174751,           2.572279,     0.011551,         0.052179,     0.028761,         2.070503, 0.063730
      7,  186.188100,           0.461800,               0.156900,        0.381300,     114.121600, 40.000000,      36.686600,           1.310900,      37.063091,           1.259456,     0.376491,         0.051444,     1.026236,         3.924315, 0.427935
      8,  206.997100,           0.421300,               0.191900,        0.386700,      96.810500,  0.000000,      40.791100,          18.578000,      40.786263,          18.577934,     0.004837,         0.000066,     0.011859,         0.000354, 0.004903
      9,  206.997100,           0.421300,               0.191900,        0.386700,      96.810500,  5.000000,      34.622000,           6.821500,      35.137501,           7.069150,     0.515501,         0.247650,     1.488940,         3.630440, 0.763151
     10,  206.997100,           0.421300,               0.191900,        0.386700,      96.810500, 10.000000,      29.385900,           2.504700,      29.459059,           2.720795,     0.073159,         0.216095,     0.248959,         8.627586, 0.289254
     11,  206.997100,           0.421300,               0.191900,        0.386700,      96.810500, 15.000000,      24.941600,           0.919600,      25.764465,           1.623809,     0.822865,         0.704209,     3.299168,        76.577723, 1.527074
     12,  206.997100,           0.421300,               0.191900,        0.386700,      96.810500, 20.000000,      21.169500,           0.337700,      22.071848,           0.727215,     0.902348,         0.389515,     4.262490,       115.343568, 1.291863
     13,  206.997100,           0.421300,               0.191900,        0.386700,      96.810500, 30.000000,      15.250400,           0.045500,      15.320628,           0.000000,     0.070228,         0.045500,     0.460500,       100.000000, 0.115728
     14,  206.997100,           0.421300,               0.191900,        0.386700,      96.810500, 40.000000,      10.986300,           0.006100,      12.057020,           0.000000,     1.070720,         0.006100,     9.745958,        61.000000, 1.076820
     15,  190.695100,           0.428900,               0.224900,        0.346100,     103.839400,  0.000000,      44.538300,          23.357200,      44.536720,          23.353481,     0.001580,         0.003719,     0.003547,         0.015921, 0.005298
     16,  190.695100,           0.428900,               0.224900,        0.346100,     103.839400,  5.000000,      41.989000,          15.304000,      41.177723,          14.544593,     0.811277,         0.759407,     1.932118,         4.962148, 1.570684
     17,  190.695100,           0.428900,               0.224900,        0.346100,     103.839400, 10.000000,      39.585600,          10.027400,      39.678745,          10.634379,     0.093145,         0.606979,     0.235301,         6.053208, 0.700125
     18,  190.695100,           0.428900,               0.224900,        0.346100,     103.839400, 15.000000,      37.319800,           6.570000,      36.289322,           6.650524,     1.030478,         0.080524,     2.761210,         1.225634, 1.111002
     19,  190.695100,           0.428900,               0.224900,        0.346100,     103.839400, 20.000000,      35.183700,           4.304700,      35.309807,           3.522133,     0.126107,         0.782567,     0.358424,        18.179359, 0.908674
     20,  190.695100,           0.428900,               0.224900,        0.346100,     103.839400, 30.000000,      31.271200,           1.848000,      31.457983,           2.214494,     0.186783,         0.366494,     0.597300,        19.831952, 0.553277
     21,  190.695100,           0.428900,               0.224900,        0.346100,     103.839400, 40.000000,      27.793800,           0.793300,      28.101837,           1.036881,     0.308037,         0.243581,     1.108295,        30.704819, 0.551618
     22,  206.465200,           0.480100,               0.298100,        0.221800,      98.204900,  0.000000,      47.148900,          29.276800,      47.148174,          29.274881,     0.000726,         0.001919,     0.001539,         0.006553, 0.002644
     23,  206.465200,           0.480100,               0.298100,        0.221800,      98.204900,  5.000000,      40.181800,          10.984800,      40.301563,          11.660464,     0.119763,         0.675664,     0.298054,         6.150902, 0.795428
     24,  206.465200,           0.480100,               0.298100,        0.221800,      98.204900, 10.000000,      34.244100,           4.121400,      35.145184,           3.939122,     0.901084,         0.182278,     2.631354,         4.422716, 1.083361
