Tempo [h], Glicose [g/L] 15%-5FPU, Xilose [g/L] 15%-5FPU, Celobiose [g/L] 15%-5FPU, Glicose [g/L] 15%-10FPU, Xilose [g/L] 15%-10FPU, Celobiose [g/L] 15%-10FPU, Glicose [g/L] 15%-15FPU, Xilose [g/L] 15%-15FPU, Celobiose [g/L] 15%-15FPU, Glicose [g/L] 15%-20FPU, Xilose [g/L] 15%-20FPU, Celobiose [g/L] 15%-20FPU, Glicose [g/L] 15%-25FPU, Xilose [g/L] 15%-25FPU, Celobiose [g/L] 15%-25FPU, Glicose [g/L] 15%-30FPU, Xilose [g/L] 15%-30FPU, Celobiose [g/L] 15%-30FPU, Glicose [g/L] 15%-60FPU, Xilose [g/L] 15%-60FPU, Celobiose [g/L] 15%-60FPU, Glicose [g/L] 20%-10FPU, Xilose [g/L] 20%-10FPU, Celobiose [g/L] 20%-10FPU
        0, 0                     , 0                    , 0                       ,                    0   ,                   0   ,                      0   , 0                      , 0                     , 0                        , 0                      , 0                     , 0                        , 0                      , 0                     , 0                        , 0                      , 0                     , 0                        , 0                      , 0                     , 0                        ,                  0     ,                   0   ,                    0
        1, 2.99                  , 5.542                , 0                       ,                    8.77,                   1.43,                      0.17, 7.2                    , 1.44                  , 0                        , 9.29                   , 1.98                  , 0.1                      , 12.23                  , 2.75                  , 0.17                     , 27.45                  , 2                     , 0.78                     , 32.31                  , 0.51                  , 0.89                     ,                  5.4619,                   2.5 ,                    0
        2, 4.7                   , 1.9015               , 0                       ,                   13.36,                  02.01,                      0.37, 12.27                  , 4.24                  , 0.14                     , 14.99                  , 4.97                  , 0.24                     , 18.5                   , 5.9                   , 0.37                     , 37.23                  , 2.91                  , 01.05                    , 43.38                  , 1.48                  , 1.19                     ,                  5.9286,                   3.3 ,                    0
        4, nan                   , nan                  , nan                     ,                   23.09,                   2.83,                      0.69, nan                    , nan                   , nan                      , nan                    , nan                   , nan                      , nan                    , nan                   , nan                      , nan                    , nan                   , nan                      , nan                    , nan                   , nan                      ,                 11.8701,                   3.49,                    0
        6, 12.41                 , 2.8135               , 214                     ,                   28.86,                   3.2 ,                      0.82, 28.57                  , 4.81                  , 0.59                     , 34.71                  , 5.4                   , 0.75                     , 39.31                  , 06.01                 , 0.89                     , 39.81                  , 8.73                  , 01.08                    , 43.64                  , 8.91                  , 1.27                     ,                139.866 ,                   3.9 ,                    0
        8, nan                   , nan                  , nan                     ,                   33.1 ,                   3.5 ,                      0.92, nan                    , nan                   , nan                      , nan                    , nan                   , nan                      , nan                    , nan                   , nan                      , nan                    , nan                   , nan                      , nan                    , nan                   , nan                      ,                221.381 ,                   5.64,                    4.670
       12, 18.52                 , 4.1956               , 2.849                   ,                   37.27,                   3.83,                      1.05, 39.92                  , 6.51                  , 0.88                     , 44.86                  , 6.99                  , 01.01                    , 47.39                  , 7.23                  , 1.13                     , 47.76                  , 10.03                 , 1.21                     , 51.19                  , 9.7                   , 1.41                     ,                244.671 ,                   5.76,                    5.095
       24, 27.93                 , 5.3448               , 5.229                   ,                   45.35,                   4.46,                      1.41, 49.59                  , 7.47                  , 1.2                      , 55.16                  , 8.1                   , 1.39                     , 55.84                  , 8.31                  , 1.44                     , 58.28                  , 10.47                 , 1.4                      , 57.95                  , 10.86                 , 1.49                     ,                389.681 ,                   8.15,                    9.600
       48, 41.02                 , 6.7745               , 8.884                   ,                   53.56,                   7.71,                      1.08, 60.23                  , 8.94                  , 1.59                     , 65.93                  , 9.68                  , 1.8                      , 65.71                  , 9.83                  , 1.76                     , 64.09                  , 11.32                 , 1.5                      , 67.72                  , 11.71                 , 1.81                     ,                510.806 ,                   9.29,                    1.2830
       72, 45.86                 , 7.8115               , 8.969                   ,                   55.91,                   7.94,                      0.95, 64.69                  , 10.02                 , 0                        , 68.7                   , 10.29                 , 1.7                      , 67.74                  , 10.68                 , 1.6                      , 67.29                  , 11.76                 , 1.51                     , 70.77                  , 11.75                 , 1.9                      ,                706.646 ,                  11.32,                    2.1925
       96, nan                   , nan                  , nan                     ,                   57.91,                   8.36,                      0.93, nan                    , nan                   , nan                      , nan                    , nan                   , nan                      , nan                    , nan                   , nan                      , nan                    , nan                   , nan                      , nan                    , nan                   , nan                      ,                845.196 ,                  11.99,                    1.100
