Temperature [°C], Cellulose Fraction, Hemicellulose Fraction, Lignin Fraction, Solids Loading [g/L], Time [min], Cellulose Remaining [g/L], Hemicellulose Remaining [g/L], Cellulose Degraded [%], Hemicellulose Degraded [%]
        182.1678,             0.3803,                 0.2960,          0.3238,              91.5611,          0,                   34.8191,                       27.0979,                 0.0000,                     0.0000
        182.1678,             0.3803,                 0.2960,          0.3238,              91.5611,          5,                   33.6863,                       21.2910,                 3.2535,                    21.4291
        182.1678,             0.3803,                 0.2960,          0.3238,              91.5611,         10,                   32.5903,                       16.7285,                 6.4011,                    38.2663
        182.1678,             0.3803,                 0.2960,          0.3238,              91.5611,         15,                   31.5300,                       13.1437,                 9.4463,                    51.4954
        182.1678,             0.3803,                 0.2960,          0.3238,              91.5611,         20,                   30.5042,                       10.3271,                12.3924,                    61.8897
        182.1678,             0.3803,                 0.2960,          0.3238,              91.5611,         30,                   28.5516,                        6.3752,                18.0003,                    76.4734
        182.1678,             0.3803,                 0.2960,          0.3238,              91.5611,         40,                   26.7240,                        3.9356,                23.2491,                    85.4764
        190.4616,             0.4493,                 0.2386,          0.3121,              81.5496,          0,                   36.6368,                       19.4585,                 0.0000,                     0.0000
        190.4616,             0.4493,                 0.2386,          0.3121,              81.5496,          5,                   34.5643,                       12.8131,                 5.6570,                    34.1517
        190.4616,             0.4493,                 0.2386,          0.3121,              81.5496,         10,                   32.6090,                        8.4372,                10.9940,                    56.6401
        190.4616,             0.4493,                 0.2386,          0.3121,              81.5496,         15,                   30.7643,                        5.5557,                16.0291,                    71.4485
        190.4616,             0.4493,                 0.2386,          0.3121,              81.5496,         20,                   29.0240,                        3.6583,                20.7793,                    81.1996
        190.4616,             0.4493,                 0.2386,          0.3121,              81.5496,         30,                   25.8330,                        1.5862,                29.4889,                    91.8484
        190.4616,             0.4493,                 0.2386,          0.3121,              81.5496,         40,                   22.9929,                        0.6877,                37.2409,                    96.4657
        187.3068,             0.4771,                 0.2202,          0.3027,             146.1772,          0,                   69.7431,                       32.1823,                 0.0000,                     0.0000
        187.3068,             0.4771,                 0.2202,          0.3027,             146.1772,          5,                   66.4304,                       22.6643,                 4.7499,                    29.5752
        187.3068,             0.4771,                 0.2202,          0.3027,             146.1772,         10,                   63.2750,                       15.9612,                 9.2741,                    50.4036
        187.3068,             0.4771,                 0.2202,          0.3027,             146.1772,         15,                   60.2695,                       11.2406,                13.5835,                    65.0721
        187.3068,             0.4771,                 0.2202,          0.3027,             146.1772,         20,                   57.4068,                        7.9161,                17.6882,                    75.4023
        187.3068,             0.4771,                 0.2202,          0.3027,             146.1772,         30,                   52.0828,                        3.9260,                25.3220,                    87.8007
        187.3068,             0.4771,                 0.2202,          0.3027,             146.1772,         40,                   47.2525,                        1.9471,                32.2478,                    93.9498
        204.7336,             0.4623,                 0.2766,          0.2611,             105.9362,          0,                   48.9790,                       29.2969,                 0.0000,                     0.0000
