Temperature [°C], Solid Loading [g/L], Cellulose Composition (%), Hemicellulose Composition (%), Lignin Composition (%), Extractives Composition (%), Ashes Composition (%), Time [min], Glucose + Celobiose [g/L], Formic acid [g/L], HMF [g/L], Xylose [g/L], Arabinose [g/L], Acetic acid [g/L], Glucuronic acid [g/L], Furfural [g/L], Glucooligomers [g/L], Xylooligomers [g/L], Arabinooligomers [g/L]
         180.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,      0.000,               0.600,       0.000, 0.010,  0.560,     0.150,       0.000,           0.000,    0.020,          0.440,         0.570,            0.350
         180.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,      5.000,               1.910,       0.440, 0.070,  1.130,     0.960,       0.290,           0.230,    0.110,          0.450,         4.470,            0.670
         180.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,     10.000,               2.060,       0.470, 0.080,  1.110,     0.980,       0.350,           0.300,    0.130,          0.390,         5.520,            0.780
         180.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,     15.000,               2.220,       0.500, 0.070,  1.380,     0.370,       0.400,           0.380,    0.140,          0.400,         7.030,            0.800
         180.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,     20.000,               2.250,       0.820, 0.090,  1.030,     1.170,       0.490,           0.400,    0.220,          0.320,        10.270,            0.890
         180.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,     30.000,               2.490,       0.900, 0.150,  1.280,     1.030,       0.680,           0.970,    0.390,          0.260,        12.250,            1.060
         180.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,     40.000,               2.640,       0.940, 0.180,  2.030,     1.010,       0.900,           2.860,    0.900,          0.170,        11.910,            0.630
         195.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,      0.000,               1.160,       0.000, 0.050,  1.120,     0.270,       0.130,           0.000,    0.280,          0.640,         1.450,            0.220
         195.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,      5.000,               2.040,       0.640, 0.130,  1.390,     0.920,       0.450,           0.510,    0.280,          0.970,         6.480,            0.700
         195.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,     10.000,               2.260,       1.100, 0.220,  1.920,     0.960,       0.800,           2.400,    0.640,          1.020,         9.660,            0.910
         195.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,     15.000,               2.510,       1.370, 0.340,  2.910,     1.100,       1.080,           3.880,    1.370,          0.430,        11.120,            0.360
         195.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,     20.000,               2.450,       1.720, 0.450,  3.710,     0.970,       1.230,           4.720,    2.380,          0.210,         5.430,            0.110
         195.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,     30.000,               2.130,       1.950, 0.600,  4.930,     0.820,       1.660,           3.790,    3.970,          0.100,         3.390,            0.470
         195.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,     40.000,               1.120,       0.890, 0.740,  3.470,     0.360,       1.530,           1.260,    5.310,          0.110,         0.650,            0.050
         210.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,      0.000,               2.120,       0.780, 0.490,  1.470,     0.430,       0.580,           1.810,    2.740,          0.100,         4.730,            0.170
         210.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,      5.000,               2.440,       1.870, 0.480,  4.040,     0.860,       1.440,           4.170,    2.720,          0.250,         7.070,            0.230
         210.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,     10.000,               1.380,       2.120, 0.750,  4.160,     1.150,       2.000,           2.050,    5.070,          0.620,         0.940,            0.050
         210.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,     15.000,               1.180,       2.380, 1.170,  1.090,     1.060,       2.210,           0.470,    5.400,          0.600,         0.220,            0.030
         210.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,     20.000,               0.860,       2.360, 1.200,  0.580,     0.350,       2.050,           0.450,    4.770,          0.510,         0.240,            0.030
         210.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,     30.000,               0.820,       1.980, 1.010,  0.570,     0.310,       1.700,           0.420,    4.330,          0.290,         0.120,            0.010
         210.000,             100.000,                 0.348,                     0.230,              0.241,                   0.149,             0.071,     40.000,               0.510,       1.750, 0.980,  0.370,     0.270,       1.550,           0.340,    3.790,          0.300,         0.220,            0.120
